"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408753","1.3.2.37.1.1","808.20","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Care providers and public protection support occupations and student monitors, crossing guards and related occupations [44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408753","1.3.2.37.1.1","813.07","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture, recreation and sport, except management [51-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408765","1.3.2.38.1.1","1039.81","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture, recreation and sport, except management [51-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408765","1.3.2.38.1.1","1086.78","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture, recreation and sport, except management [51-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408765","1.3.2.38.1.1","1162.24","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture, recreation and sport, except management [51-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408765","1.3.2.38.1.1","1229.01","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture, recreation and sport, except management [51-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408765","1.3.2.38.1.1","1235.51","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture, recreation and sport, except management [51-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408765","1.3.2.38.1.1","1286.92","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Professional occupations in art and culture [51]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408777","1.3.2.39.1.1","1207.13","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Professional occupations in art and culture [51]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408777","1.3.2.39.1.1","1226.69","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Professional occupations in art and culture [51]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408777","1.3.2.39.1.1","1312.37","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Professional occupations in art and culture [51]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408777","1.3.2.39.1.1","1378.90","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Professional occupations in art and culture [51]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408777","1.3.2.39.1.1","1426.00","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Professional occupations in art and culture [51]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408777","1.3.2.39.1.1","1491.17","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Technical occupations in art, culture and sport [52]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408789","1.3.2.40.1.1","1113.40","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Technical occupations in art, culture and sport [52]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408789","1.3.2.40.1.1","1198.68","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Technical occupations in art, culture and sport [52]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408789","1.3.2.40.1.1","1202.28","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Technical occupations in art, culture and sport [52]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408789","1.3.2.40.1.1","1270.37","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Technical occupations in art, culture and sport [52]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408789","1.3.2.40.1.1","1295.65","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Technical occupations in art, culture and sport [52]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408789","1.3.2.40.1.1","1361.43","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture and sport [53]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408801","1.3.2.41.1.1","941.81","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture and sport [53]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408801","1.3.2.41.1.1","987.96","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture and sport [53]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408801","1.3.2.41.1.1","1082.68","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture and sport [53]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408801","1.3.2.41.1.1","1168.79","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture and sport [53]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408801","1.3.2.41.1.1","1077.12","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in art, culture and sport [53]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408801","1.3.2.41.1.1","1155.41","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Support occupations in art, culture and sport [54-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408813","1.3.2.42.1.1","670.39","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Support occupations in art, culture and sport [54-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408813","1.3.2.42.1.1","756.39","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Support occupations in art, culture and sport [54-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408813","1.3.2.42.1.1","742.54","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Support occupations in art, culture and sport [54-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408813","1.3.2.42.1.1","784.74","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Support occupations in art, culture and sport [54-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408813","1.3.2.42.1.1","788.12","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Support occupations in art, culture and sport [54-55]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408813","1.3.2.42.1.1","837.46","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Sales and service occupations, except management [62-65]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408825","1.3.2.43.1.1","800.49","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Sales and service occupations, except management [62-65]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408825","1.3.2.43.1.1","834.39","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Sales and service occupations, except management [62-65]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408825","1.3.2.43.1.1","869.03","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Sales and service occupations, except management [62-65]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408825","1.3.2.43.1.1","896.32","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Sales and service occupations, except management [62-65]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408825","1.3.2.43.1.1","918.41","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Sales and service occupations, except management [62-65]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408825","1.3.2.43.1.1","947.41","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Retail sales and service supervisors and specialized occupations in sales and services [62]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408837","1.3.2.44.1.1","968.37","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Retail sales and service supervisors and specialized occupations in sales and services [62]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408837","1.3.2.44.1.1","1007.75","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Retail sales and service supervisors and specialized occupations in sales and services [62]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408837","1.3.2.44.1.1","1039.80","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Retail sales and service supervisors and specialized occupations in sales and services [62]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408837","1.3.2.44.1.1","1079.28","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Retail sales and service supervisors and specialized occupations in sales and services [62]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408837","1.3.2.44.1.1","1069.66","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Retail sales and service supervisors and specialized occupations in sales and services [62]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408837","1.3.2.44.1.1","1113.37","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in sales and services [63]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408849","1.3.2.45.1.1","787.04","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Full-time employees","Occupations in sales and services [63]","Both sexes","15 years and over","Current dollars","75","units","0","v1481408849","1.3.2.45.1.1","850.12","","","","2"
