"REF_DATE","GEO","DGUID","Wages","Type of work","National Occupational Classification (NOC)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in business [112]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409137","1.3.3.10.1.1","574.50","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in business [112]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409137","1.3.3.10.1.1","587.39","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Professional occupations in business [112]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409137","1.3.3.10.1.1","585.83","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial supervisors and specialized administrative occupations [12]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409149","1.3.3.11.1.1","446.55","","","","2"
"2019","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial supervisors and specialized administrative occupations [12]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409149","1.3.3.11.1.1","465.58","","","","2"
"2020","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial supervisors and specialized administrative occupations [12]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409149","1.3.3.11.1.1","489.35","","","","2"
"2021","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial supervisors and specialized administrative occupations [12]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409149","1.3.3.11.1.1","469.82","","","","2"
"2022","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial supervisors and specialized administrative occupations [12]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409149","1.3.3.11.1.1","518.98","","","","2"
"2023","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative and financial supervisors and specialized administrative occupations [12]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409149","1.3.3.11.1.1","545.39","","","","2"
"2018","Canada","2016A000011124","Average weekly wage rate","Part-time employees","Administrative occupations and transportation logistics occupations [13]","Both sexes","15 years and over","Current dollars","75","units","0","v1481409161","1.3.3.12.1.1","452.67","","","","2"
